Iteration,Discriminator Loss,Generator Loss
2520,1.278375,0.494243
2530,1.316620,0.390734
2540,1.195688,0.339360
2550,1.297144,0.511679
2560,1.242779,0.338464
2570,1.211275,0.284634
2580,1.245282,0.301024
2590,1.182148,0.256816
2600,1.275956,0.355947
2610,1.287486,0.396523
2620,1.247450,0.338950
2630,1.232783,0.366385
2640,1.310166,0.469499
2650,1.355781,0.542218
2660,1.249802,0.381509
2670,1.145396,0.428564
2680,1.018987,0.379951
2690,0.857864,0.233978
2700,1.391272,0.640747
2710,1.363983,0.568186
2720,1.165363,0.251853
2730,1.170216,0.265604
2740,1.116531,0.421825
2750,1.178977,0.347803
2760,1.199569,0.235362
2770,1.121044,0.241980
2780,1.148460,0.330606
2790,1.784160,0.361382
2800,1.166229,0.287440
2810,0.919610,0.252454
2820,1.202218,0.243227
2830,1.244718,0.300249
2840,1.130174,0.230420
2850,1.174616,0.261350
2860,1.319579,0.440798
2870,1.312389,0.321618
2880,1.201779,0.293180
2890,1.156651,0.607835
2900,1.309635,0.414995
2910,1.183954,0.227853
2920,1.001837,0.244159
2930,1.032955,0.291792
2940,0.814347,0.291782
2950,1.121651,0.305549
2960,1.207865,0.480344
2970,1.090595,0.297151
2980,1.278919,0.521873
2990,1.211482,0.279228
3000,1.091901,0.372450
3010,1.223096,0.327717
3020,1.105656,0.473229
3030,1.073228,0.143419
3040,1.174581,0.386711
3050,1.252605,0.523026
3060,1.017088,0.299091
3070,1.421705,0.460078
3080,1.191410,0.393665
3090,1.235108,0.312941
3100,2.085741,0.493274
3110,1.273794,0.309755
3120,1.182934,0.288446
3130,1.063868,0.351425
3140,1.070621,0.197171
3150,1.141163,0.379611
3160,1.356050,0.533155
3170,1.338502,0.255209
3180,1.322966,0.598112
3190,1.271087,0.482581
3200,1.053231,0.320371
3210,1.184369,0.487200
3220,0.833129,0.281281
3230,1.356800,0.587929
3240,1.373058,0.657877
3250,1.303058,0.231845
3260,0.789884,0.244954
3270,1.270733,0.354115
3280,1.113216,0.382574
3290,1.158326,0.379291
3300,0.818245,0.266360
3310,0.950786,0.158729
3320,1.184537,0.205373
3330,1.339264,0.402082
3340,1.131528,0.178888
3350,1.355275,0.451706
3360,1.262604,0.540059
3370,0.720150,0.199860
3380,1.327041,0.575523
3390,1.338889,0.487331
3400,0.918443,0.149223
3410,1.226978,0.407503
3420,1.248426,0.485006
3430,1.195976,0.292525
3440,1.185645,0.263253
3450,1.295538,0.435910
3460,1.095529,0.229182
3470,0.906535,0.201190
3480,1.206174,0.486354
3490,1.048698,0.148301
3500,1.310912,0.492377
3510,1.139492,0.293995
3520,1.187986,0.480453
3530,0.894428,0.180681
3540,1.256435,0.216888
3550,1.205665,0.280986
3560,1.184109,0.180165
3570,1.925191,0.362791
3580,1.054670,0.278203
3590,1.300021,0.333892
3600,1.223439,0.507335
3610,1.298726,0.437444
3620,0.963245,0.250946
3630,1.181674,0.328059
3640,1.275104,0.688469
3650,1.163746,0.239959
3660,1.059508,0.315626
3670,1.282502,0.345982
3680,1.113171,0.422939
3690,1.982985,0.312419
3700,1.422215,0.512609
3710,1.480517,0.301570
3720,1.075808,0.288314
3730,1.333247,0.455667
3740,1.003249,0.635830
3750,1.354056,0.272199
3760,0.674285,0.168709
3770,0.985713,0.110338
3780,0.932107,0.150893
3790,1.560918,0.319116
3800,1.330403,0.433234
3810,1.076260,0.240157
3820,1.189703,0.365441
3830,1.304463,0.542166
3840,1.172978,0.205268
3850,1.350688,0.474967
3860,0.769119,0.479559
3870,1.183252,0.443552
3880,1.118119,0.326142
3890,1.070058,0.332156
3900,1.100325,0.392895
3910,1.257505,0.407140
3920,1.196055,0.282342
3930,0.978517,0.222994
3940,2.273100,0.301713
3950,1.212394,0.426108
3960,1.140056,0.164200
3970,1.332200,0.172426
3980,1.187182,0.444110
3990,1.009379,0.246783
